Quick Win Opportunities — 335 Posts,,,,,,,,,,,,,,,,
"Position ≤15 | Impressions >5,000 | CTR <2% — Improve title tags & meta descriptions for big click gains",,,,,,,,,6 - 7 Months Forecast,,,,,,,
URL,Topic,Clicks,Impressions,CTR (%),Avg Position,Rounded Position,Position Group,,Conservative,Moderate,Optimistic,,Position Group,Conservative,Moderate,Optimistic
https://www.veriheal.com/blog/cannabis-decarboxylation-explained-why-its-important-and-how-to-do-it/,Edibles & Recipes,3520,329716,1.07,9,9,8 to 11,,8,7,6,,1 to 3,5%,10%,15%
https://www.veriheal.com/blog/how-much-is-a-quarter-pound-of-weed/,Other,495,277253,0.18,12,12,12+,,9,8,7,,4 to 7,10%,20%,30%
https://www.veriheal.com/blog/how-much-is-an-eighth-of-weed/,Other,41,242756,0.02,6,6,4 to 7,,5,5,4,,8 to 11,15%,25%,35%
https://www.veriheal.com/blog/how-much-is-a-zip-of-weed/,Other,113,242411,0.05,7,7,4 to 7,,6,5,5,,12+,20%,30%,40%
https://www.veriheal.com/blog/is-it-safe-to-consume-cannabis-while-taking-antibiotics/,Drug Interactions,841,208274,0.4,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/rolling-paper-alternatives/,Consumption & Gear,1194,193367,0.62,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/how-much-is-an-ounce-of-weed/,Other,53,181044,0.03,6,6,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/how-long-does-cannabis-high-last/,Effects & Experience,453,179134,0.25,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/fetty-wap-on-cannabis-use-and-dealing-with-glaucoma/,Health & Conditions,147,160654,0.09,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/how-food-intake-impacts-cannabis-consumption-and-effects/,Effects & Experience,879,147039,0.6,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/green-crack-strain/,Strains,751,143544,0.52,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/edibles/ediblocked-cant-get-high-edibles/,Edibles & Recipes,2389,134158,1.78,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/is-it-safe-to-use-cannabis-if-i-have-the-flu-benefits-risks-best-products/,Other,2176,133275,1.63,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/growing-cannabis/cannabis-plant-anatomy/,Growing,103,132053,0.08,2,2,1 to 3,,2,2,2,,,,,
https://www.veriheal.com/blog/sour-diesel-strain-information-and-effects/,Strains,235,127122,0.18,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/four-methods-to-clean-your-glass-pipe-to-perfection/,Consumption & Gear,1596,126419,1.26,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/infuse-anything-with-this-simple-cannabis-coconut-oil-recipe/#2392-section-0,Edibles & Recipes,97,122374,0.08,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/can-you-get-higher-by-holding-in-cannabis-smoke-for-a-long-time/,Consumption & Gear,461,118158,0.39,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/which-states-allow-out-of-state-patients-to-buy-medical-marijuana/#1185-section-0,Health & Conditions,88,113520,0.08,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/which-states-allow-out-of-state-patients-to-buy-medical-marijuana/#1185-section-3,Health & Conditions,20,112556,0.02,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/infuse-anything-with-this-simple-cannabis-coconut-oil-recipe/#2392-section-4,Edibles & Recipes,5,112438,0,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/gelato-strain/,Strains,147,108625,0.14,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/do-edibles-expire/,Edibles & Recipes,224,107689,0.21,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/combining-ibuprofen-with-cannabis-the-safety-facts-you-need-to-know/,Drug Interactions,232,105029,0.22,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/infuse-anything-with-this-simple-cannabis-coconut-oil-recipe/#2392-section-3,Edibles & Recipes,13,104348,0.01,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/protecting-your-pii-what-do-dispensaries-do-with-your-information/,Other,768,98299,0.78,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/mmj-and-gun-rights-can-a-medical-cannabis-patient-own-a-gun/,Health & Conditions,307,97773,0.31,11,11,8 to 11,,10,8,7,,,,,
https://www.veriheal.com/blog/infuse-anything-with-this-simple-cannabis-coconut-oil-recipe/#2392-section-2,Edibles & Recipes,27,97013,0.03,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/can-cannabis-make-you-pass-out-discussing-dizzy-spells/,Other,482,95244,0.51,9,9,8 to 11,,7,7,6,,,,,
https://www.veriheal.com/blog/gmo-strain-information-and-effects/,Strains,331,91138,0.36,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/lemon-cherry-gelato-strain-information-and-effects/,Strains,141,88296,0.16,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/cannabis-decarboxylation-explained-why-its-important-and-how-to-do-it/#2454-section-1,Edibles & Recipes,29,84969,0.03,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/strains/productivity/,Strains,1064,84001,1.27,14,14,12+,,11,9,8,,,,,
https://www.veriheal.com/blog/cannabis-decarboxylation-explained-why-its-important-and-how-to-do-it/#2454-section-0,Edibles & Recipes,5,81842,0.01,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/dosido-strain-information-and-effects/,Strains,163,78956,0.21,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/at-what-temperature-does-thc-degrade/,THC & Cannabinoids,362,77857,0.46,4,4,4 to 7,,4,3,3,,,,,
https://www.veriheal.com/blog/why-does-my-urine-smell-like-weed/,Drug Testing,1372,75862,1.81,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/cannabis-decarboxylation-explained-why-its-important-and-how-to-do-it/#2454-section-2,Edibles & Recipes,4,75769,0.01,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/how-to-reduce-a-sore-throat-from-smoking-cannabis/,Consumption & Gear,217,73661,0.29,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/white-truffle-strain-information-and-effects/,Strains,216,72315,0.3,7,7,4 to 7,,7,6,5,,,,,
https://www.veriheal.com/blog/gorilla-glue-strain-review-information-and-effects/,Strains,174,71505,0.24,10,10,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/cannabis-decarboxylation-explained-why-its-important-and-how-to-do-it/#2454-section-3,Edibles & Recipes,3,67616,0,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/choosing-between-spliffs-and-joints-a-stoners-guide-to-understanding-the-difference/,Consumption & Gear,21,66498,0.03,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/how-long-does-secondhand-smoke-stay-in-your-system/,Consumption & Gear,390,66167,0.59,7,7,4 to 7,,7,6,5,,,,,
https://www.veriheal.com/blog/the-best-herbs-to-mix-with-cannabis/,Herbal Blends,1249,64015,1.95,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/can-i-smoke-before-getting-a-tattoo/,Consumption & Gear,128,63094,0.2,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/exploring-the-spectrum-the-many-colors-of-cannabis-and-what-they-mean/,Other,624,62994,0.99,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/is-it-safe-to-use-cannabis-if-i-have-the-flu-benefits-risks-best-products/#37881-section-0,Other,7,62753,0.01,6,6,4 to 7,,5,5,4,,,,,
https://www.veriheal.com/blog/what-is-thc-distillate/,Edibles & Recipes,181,61814,0.29,12,12,12+,,9,8,7,,,,,
https://www.veriheal.com/blog/can-you-absorb-thc-through-skin/,THC & Cannabinoids,531,61364,0.87,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/is-weed-legal-in-hawaii/,Legal & Policy,31,59759,0.05,13,13,12+,,10,9,8,,,,,
https://www.veriheal.com/blog/the-health-risks-you-need-to-be-aware-of-when-smoking-blunts/,Consumption & Gear,245,57008,0.43,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/npk-ratios-for-cannabis-fertalizers-understanding-the-balance/,Other,623,56795,1.1,6,6,4 to 7,,5,5,4,,,,,
https://www.veriheal.com/blog/mixing-prozac-and-cannabis-know-the-dangers-and-benefits/,Herbal Blends,409,55033,0.74,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/apple-fritter-strain-information-and-effects/,Strains,156,54277,0.29,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/what-is-the-best-voltage-for-thc-carts/,THC & Cannabinoids,91,54258,0.17,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/how-to-stop-looking-high/,Effects & Experience,993,51164,1.94,7,7,4 to 7,,7,6,5,,,,,
https://www.veriheal.com/blog/cannabis-shake-what-can-you-do-with-it/,Other,209,51128,0.41,10,10,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/does-a-medical-cannabis-card-show-up-on-a-background-check/,Health & Conditions,512,50760,1.01,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/what-color-is-your-ash-signs-of-quality-cannabis/,Other,302,50615,0.6,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/a-comprehensive-guide-to-where-cannabis-is-and-isnt-legal-in-europe/,Legal & Policy,183,50265,0.36,12,12,12+,,9,8,7,,,,,
https://www.veriheal.com/blog/a-comprehensive-guide-to-intermittent-fasting-and-cannabis-use-for-a-healthier-lifestyle/,Other,664,47220,1.41,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/how-to-counteract-and-avoid-an-intense-cannabis-induced-high/,Effects & Experience,288,47102,0.61,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/how-to-make-a-cannabis-tincture-and-why-they-are-beneficial/,Other,105,46519,0.23,14,14,12+,,11,9,8,,,,,
https://www.veriheal.com/blog/what-is-crumble-wax-everything-you-need-to-know/,Edibles & Recipes,91,46064,0.2,13,13,12+,,10,9,8,,,,,
https://www.veriheal.com/blog/how-much-is-a-quarter-pound-of-weed/#35086-section-1,Other,4,44809,0.01,6,6,4 to 7,,6,5,4,,,,,
https://www.veriheal.com/blog/how-much-is-a-quarter-pound-of-weed/#35086-section-0,Other,25,44272,0.06,6,6,4 to 7,,6,5,4,,,,,
https://www.veriheal.com/blog/does-cannabis-affect-our-speech-a-new-study-weighs-in/,News & Research,566,44144,1.28,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/do-weed-carts-expire/,Other,39,44128,0.09,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/different-ways-to-smoke-cannabis-the-complete-guide/,Consumption & Gear,805,43924,1.83,12,12,12+,,9,8,7,,,,,
https://www.veriheal.com/blog/sunset-sherbert-strain-information-effects/,Strains,123,42687,0.29,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/all-the-jazz-regarding-chazzed-bangers-and-how-to-avoid-them/,Other,197,41906,0.47,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/cannabis-laws-ireland/,Legal & Policy,39,41149,0.09,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/how-to-clean-weed-resin-off-common-surfaces/,Consumption & Gear,288,40708,0.71,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/is-weed-legal-in-australia/,Legal & Policy,112,40537,0.28,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/how-much-is-a-quarter-of-weed/,Other,4,39940,0.01,13,13,12+,,10,9,8,,,,,
https://www.veriheal.com/blog/everything-you-need-to-know-about-cbdthc-ratios/,CBD,416,39801,1.05,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/edibles/11-hydroxy-thc/,Edibles & Recipes,190,38976,0.49,7,7,4 to 7,,7,6,5,,,,,
https://www.veriheal.com/blog/can-you-safely-use-cannabis-while-taking-prednisone/#25383-section-1,Drug Interactions,10,38416,0.03,4,4,4 to 7,,3,3,2,,,,,
https://www.veriheal.com/blog/cannabis-and-klonopin-a-dangerous-duo-or-magical-combo/,Other,196,38071,0.51,8,8,8 to 11,,6,6,5,,,,,
https://www.veriheal.com/blog/how-to-properly-store-cannabis-flower-so-that-it-lasts/,Other,258,37982,0.68,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/can-you-safely-use-cannabis-while-taking-prednisone/#25383-section-0,Drug Interactions,16,37608,0.04,4,4,4 to 7,,3,3,2,,,,,
https://www.veriheal.com/blog/edibles/cannabis-infused-cookies-recipe/,Edibles & Recipes,42,37598,0.11,14,14,12+,,11,10,8,,,,,
https://www.veriheal.com/blog/cruises-and-cannabis-can-you-take-medical-marijuana-on-a-cruise/,Health & Conditions,364,37526,0.97,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/how-your-menstrual-cycle-impacts-your-cannabis-experience/,Other,203,36915,0.55,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/what-is-a-travel-med-card-tips-for-medical-cannabis-consumption-in-puerto-rico/#33750-section-1,Health & Conditions,21,36810,0.06,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/how-long-does-it-take-to-get-a-medical-card/,Health & Conditions,97,36664,0.26,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/do-edible-gummies-expire/,Edibles & Recipes,14,36627,0.04,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/growing-cannabis/why-turn-purple/,Growing,112,36135,0.31,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/can-you-safely-use-cannabis-while-taking-prednisone/#25383-section-2,Drug Interactions,9,35927,0.03,4,4,4 to 7,,3,3,2,,,,,
https://www.veriheal.com/blog/growing-cannabis/plant-growth-regulators/,Growing,44,35594,0.12,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/best-hybrid-strains/,Strains,24,35502,0.07,6,6,4 to 7,,5,5,4,,,,,
https://www.veriheal.com/blog/northern-lights-strain/,Strains,52,34557,0.15,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/growing-cannabis/weed-plant-stages/,Growing,68,34219,0.2,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/thc-syrup/#24740-section-3,Edibles & Recipes,2,34052,0.01,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/how-to-recover-from-edibles/,Edibles & Recipes,341,33477,1.02,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/how-food-intake-impacts-cannabis-consumption-and-effects/#11795-section-0,Effects & Experience,2,33319,0.01,6,6,4 to 7,,5,5,4,,,,,
https://www.veriheal.com/blog/medications-to-avoid-mixing-with-cannabis/,Drug Interactions,322,32324,1,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/thc-syrup/#24740-section-0,Edibles & Recipes,15,32280,0.05,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/what-is-a-travel-med-card-tips-for-medical-cannabis-consumption-in-puerto-rico/#33750-section-0,Health & Conditions,15,31896,0.05,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/can-dirty-bong-water-make-you-sick/,Consumption & Gear,265,31600,0.84,4,4,4 to 7,,3,3,3,,,,,
https://www.veriheal.com/blog/elevate-your-edibles-how-incorporating-healthy-fats-enhances-cannabis-absorption/,Edibles & Recipes,464,31355,1.48,6,6,4 to 7,,6,5,4,,,,,
https://www.veriheal.com/blog/thc-syrup/#24740-section-1,Edibles & Recipes,15,31251,0.05,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/thc-syrup/#24740-section-2,Edibles & Recipes,5,31007,0.02,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/does-consuming-raw-cannabis-get-you-high-heres-what-science-shows/,Effects & Experience,43,30989,0.14,12,12,12+,,10,8,7,,,,,
https://www.veriheal.com/blog/cannabis-and-lexapro-for-mental-health-safe-or-risky/,Health & Conditions,212,30422,0.7,9,9,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/the-science-of-cottonmouth-why-does-cannabis-make-you-thirsty/,Effects & Experience,340,29723,1.14,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/what-is-a-travel-med-card-tips-for-medical-cannabis-consumption-in-puerto-rico/#33750-section-3,Health & Conditions,3,29444,0.01,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/why-does-my-urine-smell-like-weed/#35093-section-1,Drug Testing,4,29443,0.01,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/cannabis-trichomes/,Other,76,29289,0.26,10,10,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/why-does-my-urine-smell-like-weed/#35093-section-0,Drug Testing,9,29208,0.03,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/can-you-dab-reclaim-examining-the-health-implications/,Edibles & Recipes,148,28793,0.51,7,7,4 to 7,,7,6,5,,,,,
https://www.veriheal.com/blog/does-weed-affect-plan-b/,Other,314,28733,1.09,6,6,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/can-you-buy-weed-with-a-credit-card/,Legal & Policy,85,28637,0.3,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/the-science-behind-why-cannabis-can-cause-red-bloodshot-eyes/,Other,5,26908,0.02,6,6,4 to 7,,6,5,4,,,,,
https://www.veriheal.com/blog/the-bioavailability-of-cannabis-through-various-delivery-methods/,Other,76,26495,0.29,7,7,4 to 7,,7,6,5,,,,,
https://www.veriheal.com/blog/unleashing-bruce-banner-potent-powerhouse-strain-review/,Strains,100,26117,0.38,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/combining-caffeine-and-thc/,THC & Cannabinoids,64,25816,0.25,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/jealousy-strain-information-and-effects/,Strains,46,25622,0.18,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/what-is-thc-gum-benefits-and-drawbacks/,THC & Cannabinoids,283,25499,1.11,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/how-to-roll-a-blunt/,Consumption & Gear,7,24884,0.03,13,13,12+,,10,9,8,,,,,
https://www.veriheal.com/blog/four-methods-to-clean-your-glass-pipe-to-perfection/#24605-section-1,Consumption & Gear,5,24790,0.02,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/four-methods-to-clean-your-glass-pipe-to-perfection/#24605-section-0,Consumption & Gear,3,24687,0.01,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/the-health-benefits-of-cannabis-leaves-and-how-to-enjoy-them/,Health & Conditions,199,24642,0.81,12,12,12+,,10,9,7,,,,,
https://www.veriheal.com/blog/how-to-make-an-apple-pipe/,Consumption & Gear,258,24422,1.06,10,10,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/does-weed-make-you-poop-a-look-into-the-digestive-properties-of-cannabis/,Other,71,24297,0.29,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/balis-cannabis-loving-tourists-find-themselves-in-hot-water-over-drug-laws/,Legal & Policy,206,23928,0.86,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/does-cannabis-have-cooling-properties/,Other,70,23166,0.3,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/what-is-live-resin/,Other,55,22434,0.25,4,4,4 to 7,,4,3,3,,,,,
https://www.veriheal.com/blog/everything-you-need-to-know-about-thc-vs-tac/,THC & Cannabinoids,5,22071,0.02,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/rolling-papers-explained-histor-application-and-types/,Consumption & Gear,17,21877,0.08,11,11,8 to 11,,9,8,7,,,,,
https://www.veriheal.com/blog/what-is-a-penjamin/,Other,39,21597,0.18,4,4,4 to 7,,3,3,3,,,,,
https://www.veriheal.com/blog/edibles/ediblocked-cant-get-high-edibles/#15857-section-0,Edibles & Recipes,2,21519,0.01,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/the-sad-world-of-cannabis-dating-apps/,Other,416,21350,1.95,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/what-is-thc-powder-and-how-to-make-it/#36183-section-2,Edibles & Recipes,3,21270,0.01,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/kush-mints-strain-review/,Strains,82,21150,0.39,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/strains/weight-loss/#3294-section-0,Strains,38,21076,0.18,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/what-is-thc-powder-and-how-to-make-it/#36183-section-1,Edibles & Recipes,13,20942,0.06,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/is-it-safe-to-mix-cymbalta-and-weed/,Herbal Blends,340,20771,1.64,6,6,4 to 7,,5,5,4,,,,,
https://www.veriheal.com/blog/concentrates/kief-vs-hash/,Edibles & Recipes,85,20319,0.42,8,8,8 to 11,,6,6,5,,,,,
https://www.veriheal.com/blog/strains/weight-loss/#3294-section-1,Strains,4,20312,0.02,5,5,4 to 7,,4,4,3,,,,,
https://www.veriheal.com/blog/how-much-is-a-zip-of-weed/#36647-section-0,Other,2,20188,0.01,8,8,8 to 11,,7,6,5,,,,,
https://www.veriheal.com/blog/medical-cannabis-histamine-intolerance-mcas/,Health & Conditions,266,20081,1.32,7,7,4 to 7,,6,5,5,,,,,
https://www.veriheal.com/blog/is-medical-marijuana-covered-by-insurance-in-2024/,Health & Conditions,21,19346,0.11,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/edibles/green-dragon-tincture-recipe/,Edibles & Recipes,229,19320,1.19,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/is-smoking-out-of-plastic-harmful-to-your-health/,Consumption & Gear,196,19118,1.03,7,7,4 to 7,,6,6,5,,,,,
https://www.veriheal.com/blog/cannabis-vs-alcohol-liver-health/,Drug Interactions,143,19038,0.75,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/terpenes/pain-inflammation-relief/,THC & Cannabinoids,190,19031,1,13,13,12+,,11,9,8,,,,,
https://www.veriheal.com/blog/why-are-states-moving-to-ban-delta-8-thc-products/,THC & Cannabinoids,2,19027,0.01,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/durban-poison-strain-reviewing-the-espresso-of-cannabis/,Strains,40,18504,0.22,13,13,12+,,10,9,8,,,,,
https://www.veriheal.com/blog/cannabis-vapes-that-most-closely-resemble-smoking-flower/,Consumption & Gear,239,18445,1.3,7,7,4 to 7,,7,6,5,,,,,
https://www.veriheal.com/blog/silver-screen-stoners-our-11-favorite-weed-loving-movie-characters/,Other,164,18266,0.9,6,6,4 to 7,,5,5,4,,,,,
https://www.veriheal.com/blog/what-is-thc-powder-and-how-to-make-it/#36183-section-0,Edibles & Recipes,14,18193,0.08,5,5,4 to 7,,5,4,4,,,,,
https://www.veriheal.com/blog/how-to-pack-a-bowl/,Consumption & Gear,27,17992,0.15,11,11,8 to 11,,10,8,7,,,,,
https://www.veriheal.com/blog/can-you-safely-use-cannabis-while-being-on-wellbutrin/,Other,167,17793,0.94,10,10,8 to 11,,8,7,6,,,,,
https://www.veriheal.com/blog/using-cannabis-to-help-treat-the-excruciating-symptoms-of-gout/#9444-section-2,Health & Conditions,8,17722,0.05,4,4,4 to 7,,3,3,2,,,,,
https://www.veriheal.com/blog/using-cannabis-to-help-treat-the-excruciating-symptoms-of-gout/#9444-section-1,Health & Conditions,7,17420,0.04,4,4,4 to 7,,3,3,2,,,,,
https://www.veriheal.com/blog/how-cannabinoids-flow-through-our-bodies-inhalation-vs-ingestion/,THC & Cannabinoids,53,17287,0.31,4,4,4 to 7,,4,3,3,,,,,
https://www.veriheal.com/blog/growing-cannabis/sinsemilla/,Growing,51,17240,0.3,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/using-cannabis-to-help-treat-the-excruciating-symptoms-of-gout/#9444-section-3,Health & Conditions,4,17190,0.02,4,4,4 to 7,,3,3,2,,,,,
https://www.veriheal.com/blog/cannabis-and-breastfeeding/,Pregnancy & Family,78,17155,0.45,12,12,12+,,10,8,7,,,,,
https://www.veriheal.com/blog/laced-cannabis/,Other,127,17140,0.74,12,12,12+,,10,8,7,,,,,
https://www.veriheal.com/blog/bahamas-government-proposes-cannabis-legalization-for-medical-and-religious-use/,Health & Conditions,6,17012,0.04,12,12,12+,,10,8,7,,,,,
https://www.veriheal.com/blog/when-can-police-search-your-car-standards-for-every-state/,Legal & Policy,74,16979,0.44,9,9,8 to 11,,7,6,6,,,,,
https://www.veriheal.com/blog/is-weed-legal-in-louisiana/,Legal & Policy,6,16756,0.04,12,12,12+,,9,8,7,,,,,
